i,j,score
0.0,0.0,0.479
0.0,1.0,0.531
0.0,2.0,0.541
0.0,3.0,0.542
0.0,4.0,0.545
0.0,5.0,0.544
0.0,6.0,0.524
0.0,7.0,0.495
0.0,8.0,0.468
0.0,9.0,0.442
0.0,10.0,0.423
0.0,11.0,0.414
0.0,12.0,0.414
0.0,13.0,0.422
0.0,14.0,0.514
0.0,15.0,0.545
0.0,16.0,0.565
0.0,17.0,0.572
0.0,18.0,0.572
0.0,19.0,0.57
0.0,20.0,0.567
0.0,21.0,0.562
0.0,22.0,0.556
0.0,23.0,0.549
0.0,24.0,0.541
0.0,25.0,0.535
0.0,26.0,0.532
0.0,27.0,0.53
0.0,28.0,0.527
0.0,29.0,0.523
0.0,30.0,0.521
0.0,31.0,0.525
0.0,32.0,0.498
0.0,33.0,0.492
0.0,34.0,0.492
0.0,35.0,0.492
0.0,36.0,0.491
0.0,37.0,0.491
0.0,38.0,0.491
0.0,39.0,0.457
0.0,40.0,0.445
0.0,41.0,0.444
0.0,42.0,0.444
0.0,43.0,0.445
0.0,44.0,0.455
0.0,45.0,0.456
0.0,46.0,0.461
0.0,47.0,0.447
0.0,48.0,0.443
0.0,49.0,0.443
0.0,50.0,0.443
0.0,51.0,0.442
0.0,52.0,0.443
0.0,53.0,0.445
0.0,54.0,0.445
0.0,55.0,0.443
0.0,56.0,0.446
0.0,57.0,0.444
0.0,58.0,0.448
0.0,59.0,0.451
0.0,60.0,0.449
0.0,61.0,0.449
0.0,62.0,0.449
0.0,63.0,0.449
0.0,64.0,0.451
0.0,65.0,0.452
1.0,0.0,0.545
1.0,1.0,0.57
1.0,2.0,0.577
1.0,3.0,0.577
1.0,4.0,0.577
1.0,5.0,0.58
1.0,6.0,0.57
1.0,7.0,0.544
1.0,8.0,0.523
1.0,9.0,0.505
1.0,10.0,0.494
1.0,11.0,0.495
1.0,12.0,0.5
1.0,13.0,0.578
1.0,14.0,0.603
1.0,15.0,0.62
1.0,16.0,0.629
1.0,17.0,0.632
1.0,18.0,0.631
1.0,19.0,0.629
1.0,20.0,0.627
1.0,21.0,0.624
1.0,22.0,0.619
1.0,23.0,0.615
1.0,24.0,0.611
1.0,25.0,0.607
1.0,26.0,0.606
1.0,27.0,0.604
1.0,28.0,0.603
1.0,29.0,0.6
1.0,30.0,0.6
1.0,31.0,0.601
1.0,32.0,0.581
1.0,33.0,0.578
1.0,34.0,0.578
1.0,35.0,0.579
1.0,36.0,0.578
1.0,37.0,0.579
1.0,38.0,0.579
1.0,39.0,0.576
1.0,40.0,0.572
1.0,41.0,0.569
1.0,42.0,0.57
1.0,43.0,0.571
1.0,44.0,0.571
1.0,45.0,0.573
1.0,46.0,0.574
1.0,47.0,0.563
1.0,48.0,0.56
1.0,49.0,0.564
1.0,50.0,0.561
1.0,51.0,0.532
1.0,52.0,0.532
1.0,53.0,0.533
1.0,54.0,0.533
1.0,55.0,0.532
1.0,56.0,0.541
1.0,57.0,0.533
1.0,58.0,0.535
1.0,59.0,0.528
1.0,60.0,0.535
1.0,61.0,0.536
1.0,62.0,0.536
1.0,63.0,0.537
1.0,64.0,0.539
1.0,65.0,0.539
2.0,0.0,0.558
2.0,1.0,0.58
2.0,2.0,0.585
2.0,3.0,0.583
2.0,4.0,0.584
2.0,5.0,0.586
2.0,6.0,0.577
2.0,7.0,0.553
2.0,8.0,0.535
2.0,9.0,0.52
2.0,10.0,0.511
2.0,11.0,0.517
2.0,12.0,0.522
2.0,13.0,0.591
2.0,14.0,0.614
2.0,15.0,0.629
2.0,16.0,0.636
2.0,17.0,0.638
2.0,18.0,0.636
2.0,19.0,0.634
2.0,20.0,0.631
2.0,21.0,0.628
2.0,22.0,0.624
2.0,23.0,0.62
2.0,24.0,0.616
2.0,25.0,0.614
2.0,26.0,0.612
2.0,27.0,0.611
2.0,28.0,0.61
2.0,29.0,0.608
2.0,30.0,0.607
2.0,31.0,0.608
2.0,32.0,0.591
2.0,33.0,0.588
2.0,34.0,0.588
2.0,35.0,0.589
2.0,36.0,0.588
2.0,37.0,0.589
2.0,38.0,0.589
2.0,39.0,0.586
2.0,40.0,0.583
2.0,41.0,0.58
2.0,42.0,0.581
2.0,43.0,0.582
2.0,44.0,0.582
2.0,45.0,0.583
2.0,46.0,0.584
2.0,47.0,0.576
2.0,48.0,0.574
2.0,49.0,0.576
2.0,50.0,0.574
2.0,51.0,0.546
2.0,52.0,0.548
2.0,53.0,0.549
2.0,54.0,0.548
2.0,55.0,0.547
2.0,56.0,0.556
2.0,57.0,0.547
2.0,58.0,0.55
2.0,59.0,0.553
2.0,60.0,0.551
2.0,61.0,0.552
2.0,62.0,0.552
2.0,63.0,0.552
2.0,64.0,0.553
2.0,65.0,0.554
3.0,0.0,0.563
3.0,1.0,0.584
3.0,2.0,0.587
3.0,3.0,0.585
3.0,4.0,0.583
3.0,5.0,0.584
3.0,6.0,0.575
3.0,7.0,0.551
3.0,8.0,0.534
3.0,9.0,0.522
3.0,10.0,0.515
3.0,11.0,0.525
3.0,12.0,0.533
3.0,13.0,0.597
3.0,14.0,0.62
3.0,15.0,0.635
3.0,16.0,0.642
3.0,17.0,0.649
3.0,18.0,0.646
3.0,19.0,0.643
3.0,20.0,0.639
3.0,21.0,0.636
3.0,22.0,0.631
3.0,23.0,0.627
3.0,24.0,0.623
3.0,25.0,0.62
3.0,26.0,0.619
3.0,27.0,0.617
3.0,28.0,0.615
3.0,29.0,0.613
3.0,30.0,0.612
3.0,31.0,0.613
3.0,32.0,0.593
3.0,33.0,0.591
3.0,34.0,0.591
3.0,35.0,0.591
3.0,36.0,0.59
3.0,37.0,0.59
3.0,38.0,0.591
3.0,39.0,0.588
3.0,40.0,0.585
3.0,41.0,0.581
3.0,42.0,0.582
3.0,43.0,0.583
3.0,44.0,0.583
3.0,45.0,0.584
3.0,46.0,0.585
3.0,47.0,0.562
3.0,48.0,0.553
3.0,49.0,0.577
3.0,50.0,0.558
3.0,51.0,0.549
3.0,52.0,0.55
3.0,53.0,0.551
3.0,54.0,0.551
3.0,55.0,0.55
3.0,56.0,0.553
3.0,57.0,0.551
3.0,58.0,0.553
3.0,59.0,0.548
3.0,60.0,0.554
3.0,61.0,0.555
3.0,62.0,0.555
3.0,63.0,0.556
3.0,64.0,0.557
3.0,65.0,0.558
4.0,0.0,0.569
4.0,1.0,0.589
4.0,2.0,0.592
4.0,3.0,0.588
4.0,4.0,0.584
4.0,5.0,0.576
4.0,6.0,0.566
4.0,7.0,0.548
4.0,8.0,0.533
4.0,9.0,0.524
4.0,10.0,0.524
4.0,11.0,0.54
4.0,12.0,0.6
4.0,13.0,0.631
4.0,14.0,0.653
4.0,15.0,0.665
4.0,16.0,0.67
4.0,17.0,0.669
4.0,18.0,0.664
4.0,19.0,0.66
4.0,20.0,0.655
4.0,21.0,0.651
4.0,22.0,0.646
4.0,23.0,0.641
4.0,24.0,0.64
4.0,25.0,0.636
4.0,26.0,0.633
4.0,27.0,0.631
4.0,28.0,0.628
4.0,29.0,0.625
4.0,30.0,0.623
4.0,31.0,0.622
4.0,32.0,0.601
4.0,33.0,0.598
4.0,34.0,0.597
4.0,35.0,0.597
4.0,36.0,0.596
4.0,37.0,0.596
4.0,38.0,0.596
4.0,39.0,0.593
4.0,40.0,0.589
4.0,41.0,0.585
4.0,42.0,0.586
4.0,43.0,0.587
4.0,44.0,0.587
4.0,45.0,0.588
4.0,46.0,0.588
4.0,47.0,0.562
4.0,48.0,0.558
4.0,49.0,0.559
4.0,50.0,0.557
4.0,51.0,0.555
4.0,52.0,0.554
4.0,53.0,0.548
4.0,54.0,0.548
4.0,55.0,0.555
4.0,56.0,0.558
4.0,57.0,0.556
4.0,58.0,0.551
4.0,59.0,0.553
4.0,60.0,0.552
4.0,61.0,0.559
4.0,62.0,0.56
4.0,63.0,0.56
4.0,64.0,0.563
4.0,65.0,0.561
5.0,0.0,0.57
5.0,1.0,0.59
5.0,2.0,0.594
5.0,3.0,0.586
5.0,4.0,0.58
5.0,5.0,0.573
5.0,6.0,0.56
5.0,7.0,0.544
5.0,8.0,0.535
5.0,9.0,0.531
5.0,10.0,0.539
5.0,11.0,0.567
5.0,12.0,0.643
5.0,13.0,0.671
5.0,14.0,0.688
5.0,15.0,0.696
5.0,16.0,0.675
5.0,17.0,0.672
5.0,18.0,0.666
5.0,19.0,0.659
5.0,20.0,0.653
5.0,21.0,0.622
5.0,22.0,0.617
5.0,23.0,0.611
5.0,24.0,0.643
5.0,25.0,0.638
5.0,26.0,0.634
5.0,27.0,0.63
5.0,28.0,0.627
5.0,29.0,0.622
5.0,30.0,0.597
5.0,31.0,0.597
5.0,32.0,0.579
5.0,33.0,0.57
5.0,34.0,0.57
5.0,35.0,0.569
5.0,36.0,0.568
5.0,37.0,0.568
5.0,38.0,0.568
5.0,39.0,0.565
5.0,40.0,0.562
5.0,41.0,0.559
5.0,42.0,0.559
5.0,43.0,0.56
5.0,44.0,0.56
5.0,45.0,0.561
5.0,46.0,0.565
5.0,47.0,0.558
5.0,48.0,0.555
5.0,49.0,0.557
5.0,50.0,0.555
5.0,51.0,0.547
5.0,52.0,0.545
5.0,53.0,0.545
5.0,54.0,0.546
5.0,55.0,0.547
5.0,56.0,0.558
5.0,57.0,0.548
5.0,58.0,0.549
5.0,59.0,0.552
5.0,60.0,0.551
5.0,61.0,0.552
5.0,62.0,0.552
5.0,63.0,0.553
5.0,64.0,0.555
5.0,65.0,0.556
6.0,0.0,0.545
6.0,1.0,0.572
6.0,2.0,0.576
6.0,3.0,0.573
6.0,4.0,0.566
6.0,5.0,0.557
6.0,6.0,0.546
6.0,7.0,0.528
6.0,8.0,0.516
6.0,9.0,0.513
6.0,10.0,0.524
6.0,11.0,0.607
6.0,12.0,0.636
6.0,13.0,0.661
6.0,14.0,0.677
6.0,15.0,0.683
6.0,16.0,0.682
6.0,17.0,0.657
6.0,18.0,0.648
6.0,19.0,0.617
6.0,20.0,0.609
6.0,21.0,0.603
6.0,22.0,0.608
6.0,23.0,0.6
6.0,24.0,0.593
6.0,25.0,0.587
6.0,26.0,0.583
6.0,27.0,0.58
6.0,28.0,0.576
6.0,29.0,0.568
6.0,30.0,0.566
6.0,31.0,0.568
6.0,32.0,0.548
6.0,33.0,0.543
6.0,34.0,0.542
6.0,35.0,0.542
6.0,36.0,0.541
6.0,37.0,0.54
6.0,38.0,0.54
6.0,39.0,0.538
6.0,40.0,0.535
6.0,41.0,0.533
6.0,42.0,0.533
6.0,43.0,0.534
6.0,44.0,0.534
6.0,45.0,0.535
6.0,46.0,0.538
6.0,47.0,0.534
6.0,48.0,0.524
6.0,49.0,0.525
6.0,50.0,0.524
6.0,51.0,0.522
6.0,52.0,0.522
6.0,53.0,0.523
6.0,54.0,0.523
6.0,55.0,0.523
6.0,56.0,0.526
6.0,57.0,0.524
6.0,58.0,0.526
6.0,59.0,0.532
6.0,60.0,0.528
6.0,61.0,0.528
6.0,62.0,0.529
6.0,63.0,0.529
6.0,64.0,0.532
6.0,65.0,0.533
7.0,0.0,0.509
7.0,1.0,0.544
7.0,2.0,0.551
7.0,3.0,0.546
7.0,4.0,0.54
7.0,5.0,0.534
7.0,6.0,0.518
7.0,7.0,0.495
7.0,8.0,0.475
7.0,9.0,0.466
7.0,10.0,0.474
7.0,11.0,0.493
7.0,12.0,0.593
7.0,13.0,0.617
7.0,14.0,0.633
7.0,15.0,0.641
7.0,16.0,0.639
7.0,17.0,0.632
7.0,18.0,0.592
7.0,19.0,0.582
7.0,20.0,0.574
7.0,21.0,0.566
7.0,22.0,0.558
7.0,23.0,0.55
7.0,24.0,0.538
7.0,25.0,0.532
7.0,26.0,0.528
7.0,27.0,0.522
7.0,28.0,0.519
7.0,29.0,0.515
7.0,30.0,0.514
7.0,31.0,0.516
7.0,32.0,0.5
7.0,33.0,0.489
7.0,34.0,0.488
7.0,35.0,0.487
7.0,36.0,0.486
7.0,37.0,0.486
7.0,38.0,0.486
7.0,39.0,0.484
7.0,40.0,0.483
7.0,41.0,0.483
7.0,42.0,0.483
7.0,43.0,0.484
7.0,44.0,0.484
7.0,45.0,0.483
7.0,46.0,0.486
7.0,47.0,0.481
7.0,48.0,0.481
7.0,49.0,0.482
7.0,50.0,0.482
7.0,51.0,0.48
7.0,52.0,0.481
7.0,53.0,0.483
7.0,54.0,0.483
7.0,55.0,0.482
7.0,56.0,0.483
7.0,57.0,0.483
7.0,58.0,0.485
7.0,59.0,0.49
7.0,60.0,0.487
7.0,61.0,0.489
7.0,62.0,0.488
7.0,63.0,0.488
7.0,64.0,0.491
7.0,65.0,0.492
8.0,0.0,0.471
8.0,1.0,0.519
8.0,2.0,0.528
8.0,3.0,0.524
8.0,4.0,0.518
8.0,5.0,0.51
8.0,6.0,0.492
8.0,7.0,0.462
8.0,8.0,0.438
8.0,9.0,0.421
8.0,10.0,0.416
8.0,11.0,0.426
8.0,12.0,0.448
8.0,13.0,0.564
8.0,14.0,0.583
8.0,15.0,0.589
8.0,16.0,0.586
8.0,17.0,0.551
8.0,18.0,0.539
8.0,19.0,0.529
8.0,20.0,0.52
8.0,21.0,0.511
8.0,22.0,0.499
8.0,23.0,0.488
8.0,24.0,0.48
8.0,25.0,0.474
8.0,26.0,0.47
8.0,27.0,0.466
8.0,28.0,0.463
8.0,29.0,0.453
8.0,30.0,0.452
8.0,31.0,0.461
8.0,32.0,0.442
8.0,33.0,0.437
8.0,34.0,0.436
8.0,35.0,0.435
8.0,36.0,0.435
8.0,37.0,0.435
8.0,38.0,0.434
8.0,39.0,0.433
8.0,40.0,0.431
8.0,41.0,0.428
8.0,42.0,0.429
8.0,43.0,0.43
8.0,44.0,0.43
8.0,45.0,0.431
8.0,46.0,0.435
8.0,47.0,0.43
8.0,48.0,0.428
8.0,49.0,0.428
8.0,50.0,0.428
8.0,51.0,0.428
8.0,52.0,0.431
8.0,53.0,0.433
8.0,54.0,0.433
8.0,55.0,0.431
8.0,56.0,0.43
8.0,57.0,0.431
8.0,58.0,0.438
8.0,59.0,0.443
8.0,60.0,0.44
8.0,61.0,0.439
8.0,62.0,0.438
8.0,63.0,0.438
8.0,64.0,0.442
